dataset,stars,baseline,autocd,autocd+,autocd_pc,autocd_pc+,pc,fges,lingam,golem
continuous_10_2,0.16$pm$0.09,0.21$pm$0.19,0.01$pm$0.03,0.07$pm$0.12,0.0$pm$0.0,0.13$pm$0.16,0.09$pm$0.07,0.38$pm$0.2,0.46$pm$0.07,0.27$pm$0.15
continuous_10_3,0.05$pm$0.05,0.23$pm$0.12,0.01$pm$0.02,0.03$pm$0.05,0.02$pm$0.04,0.03$pm$0.04,0.04$pm$0.06,0.27$pm$0.15,0.28$pm$0.1,0.17$pm$0.07
continuous_10_4,0.05$pm$0.05,0.21$pm$0.14,0.01$pm$0.03,0.07$pm$0.06,0.01$pm$0.04,0.08$pm$0.06,0.09$pm$0.03,0.25$pm$0.13,0.25$pm$0.07,0.16$pm$0.08
continuous_20_2,0.04$pm$0.05,0.05$pm$0.08,0.0$pm$0.0,0.02$pm$0.06,0.0$pm$0.0,0.15$pm$0.09,0.08$pm$0.06,0.6$pm$0.26,0.51$pm$0.07,0.25$pm$0.07
continuous_20_3,0.03$pm$0.05,0.19$pm$0.21,0.01$pm$0.01,0.02$pm$0.04,0.01$pm$0.01,0.0$pm$0.01,0.07$pm$0.04,0.14$pm$0.1,0.4$pm$0.07,0.25$pm$0.06
continuous_20_4,0.01$pm$0.02,0.37$pm$0.28,0.0$pm$0.0,0.01$pm$0.04,0.0$pm$0.0,0.02$pm$0.05,0.07$pm$0.04,0.37$pm$0.12,0.33$pm$0.05,0.21$pm$0.05
continuous_30_2,0.01$pm$0.03,0.13$pm$0.16,0.0$pm$0.01,0.04$pm$0.07,0.0$pm$0.01,0.08$pm$0.09,0.16$pm$0.07,0.54$pm$0.16,0.52$pm$0.05,0.17$pm$0.07
continuous_30_3,0.02$pm$0.03,0.13$pm$0.13,0.0$pm$0.01,0.02$pm$0.04,0.0$pm$0.0,0.02$pm$0.04,0.04$pm$0.02,0.13$pm$0.13,0.44$pm$0.08,nan$pm$nan
continuous_30_4,0.02$pm$0.04,0.13$pm$0.14,0.01$pm$0.02,0.02$pm$0.06,0.01$pm$0.02,0.01$pm$0.04,0.06$pm$0.02,0.23$pm$0.14,0.34$pm$0.05,0.16$pm$0.13
continuous_40_2,0.01$pm$0.02,0.09$pm$0.12,0.0$pm$0.0,0.02$pm$0.06,0.0$pm$0.0,0.07$pm$0.08,0.21$pm$0.1,0.33$pm$0.23,nan$pm$nan,nan$pm$nan
continuous_40_3,0.02$pm$0.03,0.2$pm$0.22,0.0$pm$0.03,0.01$pm$0.03,0.0$pm$0.01,0.01$pm$0.03,0.02$pm$0.02,0.09$pm$0.05,nan$pm$nan,nan$pm$nan
continuous_40_4,0.03$pm$0.06,0.18$pm$0.19,0.01$pm$0.04,0.04$pm$0.08,0.0$pm$0.04,0.03$pm$0.07,0.04$pm$0.01,0.2$pm$0.14,nan$pm$nan,nan$pm$nan
continuous_5_2,0.06$pm$0.1,0.23$pm$0.15,0.01$pm$0.04,0.03$pm$0.07,0.01$pm$0.04,0.11$pm$0.13,0.11$pm$0.08,0.25$pm$0.15,0.31$pm$0.12,0.23$pm$0.16
continuous_5_3,0.02$pm$0.04,0.1$pm$0.1,0.03$pm$0.06,0.05$pm$0.06,0.02$pm$0.05,0.05$pm$0.06,0.09$pm$0.06,0.12$pm$0.08,0.14$pm$0.11,0.13$pm$0.06
continuous_5_4,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0
discrete_10_2,0.01$pm$0.03,0.01$pm$0.08,0.01$pm$0.03,0.01$pm$0.03,0.0$pm$0.02,0.0$pm$0.02,0.01$pm$0.02,0.02$pm$0.04,,
discrete_10_3,0.0$pm$0.0,0.07$pm$0.13,0.01$pm$0.03,0.01$pm$0.03,0.01$pm$0.03,0.01$pm$0.03,0.01$pm$0.02,0.0$pm$0.01,,
discrete_10_4,0.0$pm$0.0,0.04$pm$0.11,0.01$pm$0.02,0.01$pm$0.02,0.01$pm$0.02,0.01$pm$0.02,0.02$pm$0.02,0.03$pm$0.04,,
discrete_20_2,0.01$pm$0.02,0.01$pm$0.03,0.01$pm$0.02,0.01$pm$0.02,0.01$pm$0.02,0.01$pm$0.02,0.01$pm$0.02,0.07$pm$0.1,,
discrete_20_3,0.01$pm$0.03,0.01$pm$0.02,0.01$pm$0.02,0.01$pm$0.02,0.0$pm$0.01,0.0$pm$0.02,0.01$pm$0.02,0.02$pm$0.05,,
discrete_20_4,0.0$pm$0.01,0.01$pm$0.01,0.02$pm$0.01,0.02$pm$0.01,0.02$pm$0.01,0.02$pm$0.01,0.02$pm$0.01,0.0$pm$0.01,,
discrete_30_2,0.02$pm$0.03,0.01$pm$0.04,0.03$pm$0.03,0.03$pm$0.03,0.03$pm$0.03,0.03$pm$0.03,0.03$pm$0.02,0.02$pm$0.05,,
discrete_30_3,0.01$pm$0.02,0.05$pm$0.13,0.01$pm$0.02,0.01$pm$0.03,0.02$pm$0.04,0.03$pm$0.04,0.01$pm$0.02,0.05$pm$0.07,,
discrete_30_4,0.01$pm$0.01,0.02$pm$0.04,0.04$pm$0.06,0.04$pm$0.06,0.02$pm$0.04,0.02$pm$0.04,0.02$pm$0.01,0.03$pm$0.05,,
discrete_40_2,0.0$pm$0.01,0.04$pm$0.04,0.05$pm$0.05,0.05$pm$0.06,0.06$pm$0.06,0.06$pm$0.06,0.04$pm$0.03,0.01$pm$0.04,,
discrete_40_3,0.0$pm$0.01,0.05$pm$0.08,0.02$pm$0.02,0.02$pm$0.03,0.01$pm$0.02,0.01$pm$0.02,0.03$pm$0.02,0.03$pm$0.04,,
discrete_40_4,0.0$pm$0.01,0.03$pm$0.02,0.03$pm$0.02,0.03$pm$0.02,0.02$pm$0.01,0.02$pm$0.01,0.04$pm$0.02,0.01$pm$0.03,,
discrete_5_2,0.02$pm$0.1,0.17$pm$0.18,0.02$pm$0.05,0.02$pm$0.05,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.01$pm$0.03,,
discrete_5_3,0.0$pm$0.0,0.05$pm$0.08,0.0$pm$0.02,0.0$pm$0.0,0.0$pm$0.03,0.0$pm$0.0,0.02$pm$0.07,0.13$pm$0.12,,
