dataset,stars,baseline,autocd,autocd+,autocd_pc,autocd_pc+,pc,fges,lingam,golem
continuous_10_2,0.02$pm$0.01,0.56$pm$0.07,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.44$pm$0.06,0.44$pm$0.06,0.57$pm$0.07,0.48$pm$0.09
continuous_10_3,0.03$pm$0.01,0.46$pm$0.19,0.0$pm$0.0,0.01$pm$0.01,0.0$pm$0.0,0.02$pm$0.01,0.3$pm$0.11,0.26$pm$0.11,0.49$pm$0.07,0.37$pm$0.11
continuous_10_4,0.02$pm$0.01,0.25$pm$0.07,0.0$pm$0.0,0.02$pm$0.02,0.0$pm$0.0,0.02$pm$0.02,0.2$pm$0.12,0.12$pm$0.11,0.35$pm$0.13,0.24$pm$0.09
continuous_20_2,0.01$pm$0.0,0.56$pm$0.06,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.01$pm$0.0,0.5$pm$0.05,0.48$pm$0.05,0.76$pm$0.03,0.56$pm$0.07
continuous_20_3,0.01$pm$0.01,0.39$pm$0.1,0.0$pm$0.0,0.01$pm$0.01,0.0$pm$0.0,0.0$pm$0.0,0.32$pm$0.08,0.29$pm$0.07,0.65$pm$0.04,0.4$pm$0.08
continuous_20_4,0.01$pm$0.01,0.23$pm$0.08,0.0$pm$0.0,0.0$pm$0.01,0.0$pm$0.0,0.01$pm$0.01,0.28$pm$0.05,0.16$pm$0.06,0.54$pm$0.05,0.29$pm$0.06
continuous_30_2,0.0$pm$0.0,0.56$pm$0.06,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.53$pm$0.04,0.53$pm$0.04,0.8$pm$0.02,0.73$pm$0.04
continuous_30_3,0.0$pm$0.0,0.4$pm$0.03,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.37$pm$0.04,0.36$pm$0.03,0.75$pm$0.02,nan$pm$nan
continuous_30_4,0.01$pm$0.01,0.29$pm$0.04,0.0$pm$0.0,0.0$pm$0.01,0.0$pm$0.0,0.0$pm$0.01,0.31$pm$0.06,0.25$pm$0.05,0.68$pm$0.03,0.56$pm$0.14
continuous_40_2,0.0$pm$0.0,0.54$pm$0.03,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.01$pm$0.01,0.54$pm$0.04,0.54$pm$0.03,nan$pm$nan,nan$pm$nan
continuous_40_3,0.0$pm$0.0,0.4$pm$0.04,0.0$pm$0.01,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.42$pm$0.03,0.38$pm$0.03,nan$pm$nan,nan$pm$nan
continuous_40_4,0.01$pm$0.01,0.28$pm$0.04,0.0$pm$0.01,0.01$pm$0.01,0.0$pm$0.01,0.0$pm$0.01,0.32$pm$0.05,0.27$pm$0.04,nan$pm$nan,nan$pm$nan
continuous_5_2,0.02$pm$0.02,0.54$pm$0.13,0.0$pm$0.0,0.02$pm$0.02,0.0$pm$0.0,0.03$pm$0.01,0.4$pm$0.12,0.39$pm$0.11,0.51$pm$0.11,0.43$pm$0.1
