dataset,stars,baseline,autocd,autocd+,autocd_pc,autocd_pc+,pc,fges,lingam,golem
continuous_10_2,0.39$pm$0.31,0.44$pm$0.33,0.04$pm$0.14,0.21$pm$0.28,0.02$pm$0.04,0.22$pm$0.25,0.12$pm$0.06,0.4$pm$0.2,0.79$pm$0.09,0.6$pm$0.09
continuous_10_3,0.31$pm$0.34,0.68$pm$0.2,0.09$pm$0.2,0.2$pm$0.3,0.12$pm$0.22,0.32$pm$0.27,0.21$pm$0.09,0.47$pm$0.23,0.85$pm$0.08,0.75$pm$0.09
continuous_10_4,0.57$pm$0.3,0.6$pm$0.24,0.06$pm$0.14,0.61$pm$0.37,0.06$pm$0.14,0.58$pm$0.33,0.41$pm$0.07,0.48$pm$0.25,0.76$pm$0.14,0.79$pm$0.04
continuous_20_2,0.06$pm$0.15,0.14$pm$0.19,0.0$pm$0.0,0.04$pm$0.11,0.0$pm$0.0,0.25$pm$0.18,0.09$pm$0.07,0.61$pm$0.26,0.88$pm$0.05,0.66$pm$0.08
continuous_20_3,0.14$pm$0.22,0.3$pm$0.29,0.03$pm$0.06,0.06$pm$0.13,0.03$pm$0.05,0.03$pm$0.05,0.23$pm$0.1,0.25$pm$0.17,0.9$pm$0.04,0.78$pm$0.07
continuous_20_4,0.11$pm$0.22,0.55$pm$0.31,0.0$pm$0.01,0.06$pm$0.17,0.0$pm$0.01,0.09$pm$0.24,0.37$pm$0.1,0.53$pm$0.13,0.88$pm$0.03,0.78$pm$0.06
continuous_30_2,0.03$pm$0.14,0.28$pm$0.29,0.0$pm$0.01,0.07$pm$0.13,0.0$pm$0.01,0.14$pm$0.16,0.19$pm$0.07,0.56$pm$0.16,0.88$pm$0.03,0.7$pm$0.05
continuous_30_3,0.11$pm$0.24,0.27$pm$0.24,0.02$pm$0.04,0.06$pm$0.12,0.01$pm$0.02,0.05$pm$0.11,0.13$pm$0.04,0.19$pm$0.16,0.91$pm$0.03,nan$pm$nan
continuous_30_4,0.06$pm$0.16,0.22$pm$0.22,0.02$pm$0.08,0.07$pm$0.19,0.02$pm$0.08,0.05$pm$0.17,0.27$pm$0.05,0.35$pm$0.2,0.91$pm$0.04,0.85$pm$0.04
continuous_40_2,0.01$pm$0.03,0.11$pm$0.15,0.0$pm$0.01,0.03$pm$0.07,0.0$pm$0.01,0.08$pm$0.1,0.21$pm$0.09,0.36$pm$0.23,nan$pm$nan,nan$pm$nan
continuous_40_3,0.05$pm$0.06,0.34$pm$0.29,0.01$pm$0.05,0.03$pm$0.06,0.01$pm$0.04,0.02$pm$0.06,0.08$pm$0.04,0.12$pm$0.07,nan$pm$nan,nan$pm$nan
continuous_40_4,0.07$pm$0.14,0.3$pm$0.31,0.02$pm$0.11,0.08$pm$0.2,0.01$pm$0.06,0.04$pm$0.1,0.23$pm$0.03,0.29$pm$0.19,nan$pm$nan,nan$pm$nan
continuous_5_2,0.28$pm$0.33,0.61$pm$0.2,0.07$pm$0.12,0.15$pm$0.2,0.06$pm$0.11,0.45$pm$0.24,0.13$pm$0.11,0.37$pm$0.26,0.62$pm$0.17,0.49$pm$0.28
continuous_5_3,0.29$pm$0.24,0.46$pm$0.25,0.25$pm$0.22,0.44$pm$0.2,0.28$pm$0.26,0.46$pm$0.17,0.32$pm$0.18,0.36$pm$0.29,0.64$pm$0.18,0.63$pm$0.1
continuous_5_4,0.46$pm$0.14,0.4$pm$0.17,0.53$pm$0.17,0.57$pm$0.12,0.52$pm$0.21,0.58$pm$0.17,0.19$pm$0.07,0.15$pm$0.07,0.34$pm$0.17,0.43$pm$0.15
discrete_10_2,0.58$pm$0.19,0.66$pm$0.12,0.26$pm$0.12,0.26$pm$0.13,0.23$pm$0.14,0.23$pm$0.14,0.31$pm$0.18,0.26$pm$0.21,,
discrete_10_3,0.85$pm$0.13,0.65$pm$0.15,0.47$pm$0.09,0.47$pm$0.1,0.44$pm$0.11,0.44$pm$0.11,0.5$pm$0.14,0.39$pm$0.17,,
discrete_10_4,0.83$pm$0.16,0.75$pm$0.14,0.62$pm$0.11,0.62$pm$0.12,0.61$pm$0.11,0.6$pm$0.11,0.64$pm$0.15,0.64$pm$0.12,,
discrete_20_2,0.38$pm$0.12,0.43$pm$0.16,0.29$pm$0.12,0.3$pm$0.13,0.26$pm$0.13,0.25$pm$0.12,0.37$pm$0.07,0.29$pm$0.16,,
discrete_20_3,0.75$pm$0.13,0.67$pm$0.08,0.55$pm$0.06,0.56$pm$0.06,0.55$pm$0.05,0.55$pm$0.06,0.55$pm$0.08,0.54$pm$0.08,,
discrete_20_4,0.82$pm$0.09,0.74$pm$0.06,0.66$pm$0.08,0.66$pm$0.07,0.62$pm$0.07,0.62$pm$0.07,0.71$pm$0.05,0.68$pm$0.08,,
discrete_30_2,0.52$pm$0.16,0.55$pm$0.1,0.35$pm$0.06,0.35$pm$0.07,0.35$pm$0.06,0.35$pm$0.06,0.37$pm$0.05,0.39$pm$0.08,,
discrete_30_3,0.71$pm$0.09,0.66$pm$0.09,0.55$pm$0.08,0.54$pm$0.09,0.56$pm$0.09,0.57$pm$0.1,0.56$pm$0.07,0.57$pm$0.08,,
discrete_30_4,0.77$pm$0.06,0.76$pm$0.04,0.69$pm$0.06,0.69$pm$0.06,0.69$pm$0.06,0.69$pm$0.06,0.74$pm$0.03,0.7$pm$0.07,,
discrete_40_2,0.61$pm$0.13,0.45$pm$0.13,0.37$pm$0.07,0.37$pm$0.07,0.38$pm$0.08,0.38$pm$0.07,0.39$pm$0.06,0.36$pm$0.11,,
discrete_40_3,0.76$pm$0.07,0.58$pm$0.08,0.57$pm$0.09,0.57$pm$0.09,0.58$pm$0.09,0.58$pm$0.1,0.6$pm$0.08,0.53$pm$0.07,,
discrete_40_4,0.85$pm$0.08,0.73$pm$0.06,0.68$pm$0.06,0.68$pm$0.06,0.69$pm$0.07,0.69$pm$0.07,0.74$pm$0.04,0.72$pm$0.06,,
discrete_5_2,0.68$pm$0.3,0.35$pm$0.21,0.13$pm$0.2,0.12$pm$0.2,0.09$pm$0.19,0.1$pm$0.19,0.1$pm$0.19,0.08$pm$0.14,,
discrete_5_3,0.84$pm$0.18,0.42$pm$0.23,0.27$pm$0.19,0.28$pm$0.2,0.29$pm$0.17,0.27$pm$0.18,0.33$pm$0.18,0.36$pm$0.14,,
discrete_5_4,0.89$pm$0.06,0.7$pm$0.16,0.36$pm$0.2,0.39$pm$0.21,0.27$pm$0.19,0.3$pm$0.2,0.22$pm$0.21,0.17$pm$0.2,,
mixed_10_2,0.63$pm$0.14,0.57$pm$0.1,0.59$pm$0.17,0.63$pm$0.15,0.62$pm$0.16,0.64$pm$0.11,0.53$pm$0.12,0.71$pm$0.1,,
